"Folketingsvalget 2011 Fyns Storkreds efter tid, område og valgresultat"

" ";" ";"GYLDIGE STEMMER I ALT";"A. Socialdemokratiet";"B. Radikale Venstre";"C. Det Konservative Folkeparti";"F. SF - Socialistisk Folkeparti";"I. Liberal Alliance";"K. Kristendemokraterne";"O. Dansk Folkeparti";"V. Venstre, Danmarks Liberale Parti";"Ø. Enhedslisten - De Rød-Grønne"
"2011"
" ";"FYNS STORKREDS";315660;89577;26658;16033;32990;13164;1330;38978;76845;19914
" ";"1. ODENSE ØST OPSTILLINGSKREDS";41150;13425;4066;1948;5279;1748;159;4227;6704;3581
" ";"Skt. Jørgens Hallen";6983;1684;901;380;964;445;38;589;1243;737
" ";"Sct. Hans Skole";6252;2113;645;298;822;237;21;604;956;551
" ";"Risingskolen";2458;869;241;87;361;89;4;267;331;209
" ";"Munkebjergskolen";6430;1596;812;437;767;450;29;542;1333;464
" ";"Ejerslykkeskolen";4378;1695;378;193;572;125;14;462;527;411
" ";"Agedrup Skole";1918;737;88;108;169;65;7;255;416;71
" ";"Fjordager Hallen";3303;1255;210;118;370;70;13;505;577;184
" ";"Havnens Gourmet/Aasum";322;93;28;11;36;17;1;29;96;11
" ";"Fraugde Fritidscenter";1900;618;133;90;243;69;11;241;398;97
" ";"Davinde Forsamlingshus";248;62;18;17;30;12;2;33;60;14
" ";"Abildgårdskolen";3926;1705;304;75;531;54;11;409;277;559
" ";"Bækholmskolen";3032;998;308;134;414;115;8;291;490;273
" ";"2. ODENSE VEST OPSTILLINGSKREDS";36588;11028;3107;2224;3876;1490;113;4462;7830;2445
" ";"Jernbanegades Skole / Vuc";6192;1298;926;410;866;438;17;418;1101;717
" ";"Csv-Skolen";6047;2250;405;236;841;173;16;741;797;581
" ";"Lumby Forsamlingshus";827;218;57;48;76;29;1;119;229;50
" ";"Stige Skole";4212;1457;239;184;429;123;8;591;961;220
" ";"Allesø Forsamlingshus";288;73;27;22;17;8;2;42;89;8
" ";"Spurvelundskolen";2464;773;152;173;219;99;10;338;581;116
" ";"Kroggårdskolen";4394;1435;317;253;463;147;18;558;963;239
" ";"Tarup Skole";3989;1234;373;295;296;140;6;479;995;171
" ";"Paarup Forsamlingshus";3003;852;236;254;227;112;11;391;793;127
" ";"Korup Skole";3203;981;214;214;286;119;12;475;801;101
" ";"Ubberudhallen";1612;376;129;115;133;81;10;252;426;89
" ";"Ravnebjerg Forsamlingshus";357;81;32;20;23;21;2;58;94;26
" ";"3. ODENSE SYD OPSTILLINGSKREDS";43645;10827;4820;2953;4400;2233;220;4521;10988;2660
" ";"Rådhuset (Odense Syd opstillingskreds)";8086;1620;1244;537;921;552;37;610;1751;814
" ";"Sct. Knuds Gymnasium";3726;561;559;344;303;291;9;251;1237;171
" ";"Rosengårdskolen";5045;1480;582;272;616;237;26;500;941;386
" ";"Sanderumhallen";7205;2040;587;493;672;298;32;889;1916;275
" ";"Brændekilde Forsamlingshus";326;76;25;17;44;14;3;43;89;15
" ";"Rasmus Rask Skolen";3209;733;241;226;224;138;50;377;1083;136
" ";"Tingløkkeskolen";4179;1041;486;293;438;198;13;418;1050;238
" ";"Dalumskolen";5802;1749;554;367;555;228;19;681;1296;346
" ";"Stenløse Forsamlingshus";2014;434;211;155;168;93;17;215;617;103
" ";"Fangel Forsamlingshus";659;123;45;48;68;39;5;90;214;27
" ";"Højby Skole";2988;891;254;155;343;130;8;390;693;122
" ";"Tingkærskolen";406;79;32;46;48;15;1;57;101;27
" ";"4. ASSENS OPSTILLINGSKREDS";27100;7841;1935;1291;2509;1135;139;3634;7191;1419
" ";"Assens (Assens opstillingskreds)";4558;1515;272;195;421;169;20;561;1147;256
" ";"Ebberup";1152;409;78;44;111;47;4;125;284;49
" ";"Turup";591;162;38;26;60;28;4;89;148;36
" ";"Salbrovad";611;170;37;39;54;22;2;99;161;27
" ";"Helnæs";179;36;11;12;14;8;2;31;56;9
" ";"Bågø";23;6;4;0;0;1;0;3;9;0
" ";"Køng";690;178;61;38;62;39;2;82;170;58
" ";"Glamsbjerg";1707;551;121;83;188;69;7;188;398;102
" ";"Flemløse";712;182;48;40;61;42;4;104;178;53
" ";"Søllested (Assens opstillingskreds)";340;108;23;14;36;11;5;49;73;21
" ";"Ørsted (Assens opstillingskreds)";361;103;24;17;29;8;0;54;98;28
" ";"Dreslette";618;153;49;24;52;24;8;72;199;36
" ";"Haarby";2272;680;148;107;184;85;8;279;686;94
" ";"Jordløse";461;109;41;20;55;20;2;61;118;35
" ";"Brylle";1183;323;77;45;123;57;6;156;347;49
" ";"Tommerup";1309;350;110;48;128;52;13;167;375;66
" ";"Tommerup St";1598;463;163;72;173;74;6;169;403;74
" ";"Verninge";734;182;50;37;56;38;4;108;229;30
" ";"Nårup";342;119;24;8;27;14;2;49;90;9
" ";"Vissenbjerg";3974;1092;263;249;393;171;14;624;934;234
" ";"Aarup";2180;591;179;105;162;92;17;302;652;80
" ";"Kerte";456;95;28;22;21;22;6;100;149;13
" ";"Orte";525;127;51;25;64;24;1;63;128;42
" ";"Rørup";524;137;35;21;35;18;2;99;159;18
" ";"5. MIDDELFART OPSTILLINGSKREDS";43948;11791;3112;2013;4112;1960;166;6179;12774;1825
" ";"Middelfart V";4445;1337;384;195;435;191;23;533;1092;252
" ";"Middelfart Ø";4549;1384;379;204;384;217;23;601;1173;184
" ";"Strib";2981;595;308;199;211;203;17;295;1037;114
" ";"Hyllehøj";1650;457;131;70;116;75;4;239;507;51
" ";"Aulby";926;188;75;27;82;39;7;145;322;41
" ";"Nørre Aaby";2451;717;217;118;207;95;7;311;678;100
" ";"Baaring";1277;274;115;51;117;55;7;173;414;71
" ";"Ejby (Middelfart opstillingskreds)";1941;490;126;92;190;89;6;282;595;69
" ";"Gelsted";1775;495;121;84;170;61;4;281;483;76
" ";"Brenderup";1750;419;153;55;147;103;7;244;545;76
" ";"Fjelsted/Harndrup";1096;266;75;45;99;62;5;181;313;49
" ";"Bogense";2545;751;136;113;273;72;6;392;702;97
" ";"Klinte";661;142;23;28;96;33;1;99;207;32
" ";"Kongslund";1088;265;61;41;109;48;3;185;331;45
" ";"Horsebæk";841;215;44;35;60;24;2;162;260;39
" ";"Krogsbølle";1395;402;68;45;131;58;4;217;419;51
" ";"Otterup";3354;1030;174;118;363;99;7;481;986;95
" ";"Løkkemark";873;195;37;34;89;32;5;142;303;34
" ";"Skovløkke";849;202;59;25;119;27;4;125;239;49
" ";"Veflinge";1007;275;44;57;117;49;3;175;250;37
" ";"Hårslev";892;207;42;40;99;46;6;143;262;47
" ";"Morud";1787;371;162;97;147;129;7;214;587;73
" ";"Særslev";1035;300;49;55;84;55;1;159;301;31
" ";"Søndersø (Middelfart opstillingskreds)";2780;814;129;185;267;98;7;400;768;112
" ";"6. NYBORG OPSTILLINGSKREDS";36659;11388;2458;1551;3799;1426;125;4968;9020;1871
" ";"Mesinge";1471;414;120;58;216;52;6;171;343;91
" ";"Kerteminde 1";2681;718;222;176;294;120;6;379;640;124
" ";"Kerteminde 2";1821;477;141;119;218;69;8;224;481;83
" ";"Nymarken";1549;411;117;54;188;76;11;214;387;89
" ";"Marslev";1403;405;75;66;112;56;5;254;377;52
" ";"Langeskov";2935;897;160;157;258;127;12;402;826;94
" ";"Munkebo";3995;1680;222;123;433;134;13;478;686;226
" ";"Aunslev Forsamlingshus";1175;298;75;40;120;67;3;180;329;62
" ";"Nyborghallen";4213;1502;290;148;471;131;16;488;902;260
" ";"Borgerforeningens Hus";5334;1718;436;238;597;193;19;669;1110;353
" ";"Vindinge Forsamlingshus";2165;615;145;82;231;106;4;327;552;100
" ";"Langå, Svindinge Og Øksendrup";732;164;37;26;76;26;0;113;234;50
" ";"Ullerslev";1992;666;99;74;163;62;10;306;532;79
" ";"Ellinge";339;94;23;22;32;15;0;52;91;10
" ";"Skellerup";427;143;27;19;33;8;2;66;116;11
" ";"Langtved";618;165;52;22;51;36;5;107;148;32
" ";"Ørbæk";1197;306;62;43;73;40;2;173;466;23
" ";"Frørup Og Tårup";942;272;68;20;82;42;1;117;286;46
" ";"Ellested Og Herrested";860;233;47;40;80;36;1;122;259;40
" ";"Kullerup Og Refsvindinge";810;210;40;24;71;30;1;126;255;46
" ";"7. SVENDBORG OPSTILLINGSKREDS";48063;13049;4064;2209;5429;1767;228;5982;11263;4043
