"Folketingsvalget 2011 for Københavns Storkreds efter tid, område og"
"valgresultat"

" ";" ";"GYLDIGE STEMMER I ALT";"A. Socialdemokratiet";"B. Radikale Venstre";"C. Det Konservative Folkeparti";"F. SF - Socialistisk Folkeparti";"I. Liberal Alliance";"K. Kristendemokraterne";"O. Dansk Folkeparti";"V. Venstre, Danmarks Liberale Parti";"Ø. Enhedslisten - De Rød-Grønne"
"2011"
" ";"KØBENHAVNS STORKREDS";426205;80705;71264;23262;52870;24882;1185;35887;64914;70831
" ";"1. ØSTERBRO OPSTILLINGSKREDS";45672;8153;8882;2876;5206;3235;130;2764;7645;6744
" ";"1. Østerbro";11736;1957;2399;752;1408;858;45;522;1971;1813
" ";"1. Nord";4818;823;896;383;409;420;16;332;987;548
" ";"1. Syd";5841;945;1278;351;752;383;16;266;852;993
" ";"1. Øst";6526;954;1402;483;703;548;7;323;1209;895
" ";"1. Vest";8942;1831;1524;441;1080;533;27;708;1384;1405
" ";"1. Nordvest";7809;1643;1383;466;854;493;19;613;1242;1090
" ";"2. SUNDBYVESTER OPSTILLINGSKREDS";34627;6740;5708;1578;4291;2276;77;3098;5280;5540
" ";"2. Sundbyvester";10345;2468;1187;397;1331;460;26;1358;1476;1629
" ";"2. Nord";9816;1960;1612;362;1392;462;19;894;1245;1858
" ";"2. Syd";6675;1092;1328;350;698;686;19;442;1194;859
" ";"2. Vest";7791;1220;1581;469;870;668;13;404;1365;1194
" ";"3. INDRE BY OPSTILLINGSKREDS";32975;4541;6937;2193;3824;2719;56;1397;5174;6100
" ";"3. Indre By";8398;1144;1977;503;1010;689;16;275;1108;1670
" ";"3. Nord";5555;809;1220;448;622;444;10;229;982;786
" ";"3. Syd";7033;1040;1360;287;992;380;5;318;786;1849
" ";"3. Øst";6121;813;1198;468;571;631;16;306;1210;904
" ";"3. Vest";5868;735;1182;487;629;575;9;269;1088;891
" ";"4. SUNDBYØSTER OPSTILLINGSKREDS";31298;6341;4795;1153;4130;1704;90;3047;4900;5088
" ";"4. Sundbyøster";7026;1499;1038;245;915;362;18;749;1025;1164
" ";"4. Nord";10894;2086;1798;361;1540;609;37;890;1485;2068
" ";"4. Syd";6696;1437;927;255;831;333;16;739;1156;990
" ";"4. Øst";6682;1319;1032;292;844;400;19;669;1234;866
" ";"5. NØRREBRO OPSTILLINGSKREDS";44831;7249;8952;1404;6821;2003;103;2112;3748;12382
