"Folketingsvalget 2011 for Københavns Omegns Storkreds efter tid, område"
"og valgresultat"

" ";" ";"GYLDIGE STEMMER I ALT";"A. Socialdemokratiet";"B. Radikale Venstre";"C. Det Konservative Folkeparti";"F. SF - Socialistisk Folkeparti";"I. Liberal Alliance";"K. Kristendemokraterne";"O. Dansk Folkeparti";"V. Venstre, Danmarks Liberale Parti";"Ø. Enhedslisten - De Rød-Grønne"
"2011"
" ";"KØBENHAVNS OMEGNS STORKREDS";316728;81557;33992;21763;27767;16703;1086;40444;69948;23221
" ";"1. GENTOFTE OPSTILLINGSKREDS";45033;5342;6787;6755;2142;4599;116;3099;13877;2299
" ";"Jægersborg";4812;520;686;862;182;523;11;289;1535;203
" ";"Munkegård";4003;725;656;438;299;244;15;397;941;285
" ";"Rådhuset (Gentofte opstillingskreds)";4334;476;751;677;178;491;8;206;1356;190
" ";"Bakkegård";4403;797;568;499;319;349;18;472;1042;336
" ";"Dyssegård";4493;561;776;669;236;398;9;298;1299;246
" ";"Maglegård";5081;454;819;799;209;552;8;278;1745;215
" ";"Hellerup";5322;579;825;729;267;585;16;310;1710;301
" ";"Ordrup";3947;425;560;619;179;404;9;299;1282;167
" ";"Skovshoved";4554;397;605;750;139;575;9;237;1644;196
" ";"Skovgård";4084;408;541;713;134;478;13;313;1323;160
" ";"2. LYNGBY OPSTILLINGSKREDS";34104;6141;5420;3275;2740;2591;103;2815;8989;2015
" ";"Lyngby Midt";4147;783;605;363;325;304;11;411;1070;274
" ";"Lindegård";3764;922;449;250;368;206;14;498;765;290
" ";"Trongård";4066;650;589;355;356;404;13;343;1077;277
" ";"Engelsborg";4185;653;651;404;321;329;12;341;1225;246
" ";"Taarbæk";1017;157;181;106;68;109;1;57;268;69
" ";"Virum";4360;554;792;537;230;425;17;198;1453;153
" ";"Hummeltofte";3241;600;580;341;232;234;9;222;862;159
" ";"Fuglsanggård";3443;684;517;329;293;209;13;318;880;200
" ";"Kongevej";2001;348;426;194;160;128;4;117;512;110
" ";"Lundtofte";3880;790;630;396;387;243;9;310;877;237
" ";"3. GLADSAXE OPSTILLINGSKREDS";39798;10329;5043;2162;3855;1890;148;4609;8064;3667
" ";"Bagsværd";4172;911;581;325;337;267;18;393;991;348
" ";"Buddinge";2833;744;340;160;257;157;15;328;612;215
" ";"Egegård";5014;1357;491;254;477;224;17;666;1094;432
" ";"Høje Gladsaxe";2023;753;164;40;208;28;10;362;204;252
" ";"Kildebakken";2500;737;270;101;250;95;8;353;412;272
" ";"Marielyst";3519;797;615;171;380;150;18;312;692;384
" ";"Mørkhøj";5206;1490;533;239;506;222;12;760;970;465
" ";"Stengård";5371;1249;910;347;529;315;18;416;1147;439
" ";"Søborg (Gladsaxe opstillingskreds)";3330;793;481;189;344;161;5;353;664;338
" ";"Vadgård";3774;997;413;207;360;174;19;447;851;300
" ";"Værebro";2056;501;245;129;207;97;8;219;427;222
" ";"4. RØDOVRE OPSTILLINGSKREDS";39594;12413;3478;1884;3897;1486;222;5649;7308;3226
" ";"Herlev Byskole Afd. Engskolen";1554;568;104;44;155;36;13;279;219;136
" ";"Herlev Byskole Afd. Elverhøjen";3689;1129;333;205;366;118;27;525;662;318
" ";"Kildegårdskolen Vest";3949;1056;404;227;390;214;38;500;800;316
" ";"Herlev Hallerne";4619;1447;384;286;391;177;40;582;1009;303
" ";"Kildegårdskolen Øst";2801;943;200;110;334;103;11;401;406;291
" ";"Ørbygård";2704;754;287;142;263;102;9;367;582;197
" ";"Milestedet";1175;504;73;22;124;15;2;187;108;139
" ";"Rødovre";3592;1048;397;173;349;166;15;446;690;306
" ";"Valhøj";3079;1038;234;87;375;68;7;491;457;317
" ";"Rødovrehallen";2185;794;152;84;243;69;7;357;304;171
" ";"Nyager";3146;886;309;176;278;144;20;391;727;215
" ";"Tinderhøj";2378;828;186;67;237;101;12;347;432;167
" ";"Islev";3572;1022;311;199;289;144;17;596;748;244
" ";"Broparken";1151;396;104;62;103;29;4;180;164;106
" ";"5. HVIDOVRE OPSTILLINGSKREDS";31002;8886;2620;1298;3213;1204;106;5121;5872;2652
