"Folketingsvalget 2011 for Nordjyllands Storkreds efter tid, område og"
"valgresultat"

" ";" ";"GYLDIGE STEMMER I ALT";"A. Socialdemokratiet";"B. Radikale Venstre";"C. Det Konservative Folkeparti";"F. SF - Socialistisk Folkeparti";"I. Liberal Alliance";"K. Kristendemokraterne";"O. Dansk Folkeparti";"V. Venstre, Danmarks Liberale Parti";"Ø. Enhedslisten - De Rød-Grønne"
"2011"
" ";"NORDJYLLANDS STORKREDS";375379;113739;25716;20171;32690;15202;3127;45277;102686;16639
" ";"1. FREDERIKSHAVN OPSTILLINGSKREDS";41748;14069;1970;1876;3227;1403;310;5869;11560;1456
" ";"Skagen";5621;2066;247;294;309;169;20;880;1430;206
" ";"Hulsig";105;32;4;5;7;0;0;25;25;7
" ";"Ålbæk";1287;398;65;75;85;40;3;203;387;30
" ";"Jerup";658;220;23;27;60;22;2;106;178;20
" ";"Elling";1132;401;42;34;66;24;16;185;328;36
" ";"Strandby (Frederikshavn opstillingskreds)";1707;429;85;101;93;46;98;328;488;38
" ";"Frederikshavn Nord";4051;1695;164;140;370;124;15;568;838;137
" ";"Frederikshavn Midt";6695;2462;320;265;688;245;25;906;1479;303
" ";"Frederikshavn Syd";4749;1774;227;203;387;170;21;602;1204;161
" ";"Ravnshøj";1322;377;68;48;122;37;7;147;476;40
" ";"Gærum";1341;328;66;59;75;74;10;150;542;36
" ";"Sæby";6188;1930;344;367;477;195;27;732;1927;187
" ";"Brønden";331;88;13;13;27;8;3;36;128;15
" ";"Dybvad";770;237;29;21;46;33;4;108;273;19
" ";"Hørby (Frederikshavn opstillingskreds)";586;193;26;13;44;21;10;65;189;25
" ";"Præstbro";340;97;15;8;36;17;2;41;101;23
" ";"Thorshøj";507;143;15;21;51;24;9;85;143;16
" ";"Understed";402;92;21;17;32;26;1;67;129;16
" ";"Voerså";548;143;29;15;33;16;0;105;179;28
" ";"Volstrup";452;138;25;26;33;24;1;44;148;13
" ";"Østervrå";1211;335;45;52;61;45;24;161;463;25
" ";"Lyngså";400;114;18;23;32;6;3;69;123;12
" ";"Vesterø Havn";483;111;27;15;37;10;3;98;160;22
" ";"Byrum";561;166;43;20;31;12;4;112;140;33
" ";"Østerby Havn";301;100;9;14;25;15;2;46;82;8
" ";"2. HJØRRING OPSTILLINGSKREDS";42924;12017;2665;3046;3915;1585;377;5105;12521;1679
" ";"Horne (Hjørring opstillingskreds)";1270;317;88;110;102;48;22;187;353;41
" ";"Hirtshals";3907;1193;175;406;305;94;38;689;874;133
" ";"Hjørring - Centrum";6098;1830;479;388;647;225;29;582;1566;347
" ";"Tornby";1224;284;95;130;115;42;13;151;344;50
" ";"Bindslev";1159;267;52;89;94;44;12;159;400;42
" ";"Tversted";1174;240;100;78;93;64;18;166;375;40
" ";"Taars";2329;592;148;194;180;88;29;289;749;59
" ";"Vrejlev-Hæstrup";1260;331;53;63;109;54;6;143;452;48
" ";"Bjergby-Mygdal";1176;272;58;86;92;62;8;128;426;44
" ";"Skallerup";1122;273;72;89;124;33;5;129;335;62
" ";"Hjørring - Nord";4420;1461;268;288;438;154;19;423;1198;171
" ";"Hjørring - Syd";4039;1175;270;275;394;160;27;419;1167;151
" ";"Hjørring - Vest";2281;715;151;160;224;52;34;233;624;86
" ";"Vrå";2863;763;192;153;308;120;41;298;876;111
" ";"Hundelev";787;199;49;49;66;29;3;119;242;31
" ";"Løkken";1973;542;109;166;138;63;20;256;604;75
" ";"Sindal";2210;625;105;154;171;74;22;257;750;51
" ";"Astrup";816;180;51;42;83;38;10;73;295;44
" ";"Tolne";875;224;60;39;92;40;5;108;265;42
" ";"Ugilt";733;215;34;35;44;43;4;112;224;22
" ";"Lendum";1208;319;56;52;96;58;12;184;402;29
" ";"3. BRØNDERSLEV OPSTILLINGSKREDS";48384;15237;2861;2635;3938;1838;440;6051;13707;1658
" ";"Agersted";583;162;34;25;37;43;5;82;165;29
" ";"Asaa";1242;390;57;66;130;52;8;199;281;59
" ";"Dronninglund";3139;876;298;189;242;140;33;335;918;107
" ";"Flauenskjold";884;253;44;48;61;41;11;139;252;35
" ";"Hjallerup";2669;887;166;170;197;105;20;263;813;48
" ";"Klokkerholm";1001;259;74;40;89;44;12;125;318;39
" ";"Thorup 1";257;53;17;17;19;16;4;27;93;11
" ";"Ørum (Brønderslev opstillingskreds)";354;92;13;11;32;22;3;47;118;16
" ";"Brønderslev";7966;2782;484;504;656;237;57;863;2092;286
" ";"Stenum";472;145;23;37;35;24;7;54;120;26
" ";"Ø. Hjermitslev";269;64;18;13;25;14;3;36;86;10
" ";"Thise";640;169;31;23;51;39;8;80;215;24
" ";"Ø. Brønderslev";1042;332;75;53;101;38;9;110;290;34
" ";"Hallund";454;133;25;35;43;15;7;57;121;18
" ";"Hellum";245;38;14;11;27;17;2;28;87;21
" ";"Jerslev";1136;310;59;75;92;45;9;157;345;43
" ";"Sterup";275;72;9;23;25;14;2;41;75;14
" ";"Serritslev";630;167;26;18;59;37;8;71;218;26
" ";"Aabybro";3776;1105;248;230;275;147;26;433;1231;81
" ";"Biersted";1321;483;69;68;97;43;10;204;318;29
" ";"Nørhalne";1001;403;51;38;60;40;5;112;272;20
" ";"Vedsted (Brønderslev opstillingskreds)";880;325;40;43;73;29;8;83;257;22
" ";"Gjøl";840;240;55;58;46;42;9;71;288;29
" ";"Ingstrup";472;107;24;33;65;23;14;85;104;17
" ";"V. Hjermitslev";444;133;19;22;41;15;7;80;112;15
" ";"Brovst";1948;660;100;109;115;69;26;243;566;59
" ";"Halvrimmen";996;316;53;55;78;40;3;127;284;40
" ";"Arentsminde";461;156;8;12;40;15;5;70;139;16
" ";"Tranum";774;205;55;43;80;41;6;108;188;47
" ";"Skovsgård";1099;368;43;45;84;44;8;164;307;35
" ";"Fjerritslev";2761;853;141;109;225;69;41;387;840;94
" ";"Thorup 2";865;220;55;39;91;35;2;114;270;39
" ";"Ørebro";663;179;41;31;74;30;7;106;181;13
" ";"Trekroner (Brønderslev opstillingskreds)";824;205;42;40;88;34;16;93;275;31
" ";"Pandrup";2120;765;134;109;161;50;21;248;553;79
" ";"Kaas";1893;846;87;54;176;63;11;264;313;78
" ";"Hune";1117;246;73;86;69;41;4;203;358;37
" ";"Saltum";871;238;56;53;79;25;3;142;244;31
" ";"4. THISTED OPSTILLINGSKREDS";43064;13303;2454;1991;2704;1448;573;5839;13158;1582
" ";"Sejerslev";590;203;27;21;36;14;14;82;155;38
" ";"Flade";487;168;41;11;29;9;0;77;123;29
" ";"Bjergby";280;70;27;9;24;18;0;25;98;9
" ";"Sundby (Thisted opstillingskreds)";414;132;25;16;27;18;3;59;121;13
" ";"Solbjerg";305;74;17;6;24;20;1;53;106;4
" ";"Thorup";271;58;24;22;18;8;2;37;86;16
" ";"Ø. Jølby";625;198;31;19;29;15;3;75;246;9
" ";"Erslev";471;154;28;18;20;15;2;67;143;24
" ";"Tødsø";613;199;28;26;39;29;2;72;197;19
" ";"Frøslev";433;149;21;21;23;19;6;58;123;13
" ";"Tæbring";417;131;25;11;26;15;8;66;123;12
" ";"Fredsø";607;171;33;21;48;31;4;82;207;10
" ";"Vils";573;163;45;13;25;33;0;82;198;14
" ";"Karby";629;161;24;20;38;76;3;93;199;15
" ";"Redsted";454;132;15;10;22;28;9;75;143;20
" ";"Ørding";432;98;22;17;29;15;6;65;156;24
" ";"Ø. Assels";474;155;18;7;29;17;4;86;139;19
" ";"Nykøbing (Thisted opstillingskreds)";6080;2434;315;231;451;201;58;595;1564;229
" ";"Thisted By";5875;2071;328;253;398;183;85;639;1682;233
" ";"Harring-Stagstrup";873;289;48;34;38;26;28;133;257;20
" ";"Hillerslev-Kåstrup";635;163;28;31;26;31;8;87;239;22
" ";"Hundborg-Jannerup";655;182;32;37;50;14;24;106;166;43
" ";"Vorupør";475;152;29;18;16;9;3;116;118;14
" ";"Nors-Tved";1092;237;48;58;56;45;14;131;475;28
" ";"Sennels";856;229;53;59;40;23;3;91;340;17
" ";"Sjørring-Thorsted";986;300;72;44;69;35;13;110;317;26
" ";"Skjoldborg-Kallerup";430;88;24;17;21;24;17;86;136;17
" ";"Snedsted-Nørhå";1381;418;78;79;78;40;15;306;302;64
" ";"Sønderhå-Hørsted";293;61;23;29;15;11;2;52;83;17
" ";"Thisted Landsogn";2741;881;194;123;175;62;37;336;862;71
" ";"Vang-Tvorup";299;64;21;15;32;3;15;64;69;16
" ";"Skinnerup, V Og Ø Vandet";411;82;24;24;20;10;10;48;165;28
" ";"Øsløs, Vesløs Og Arup";813;273;45;23;58;26;3;131;209;45
" ";"Østerild, Hunstrup";735;202;19;23;41;30;6;102;297;15
" ";"Hanstholm";1304;317;53;77;57;35;8;319;409;29
" ";"Ræhr/Vigsø";616;132;25;26;21;20;1;136;238;17
" ";"Klitmøller";560;126;81;26;41;22;5;71;155;32
" ";"Frøstrup";758;295;46;24;31;23;14;73;179;73
" ";"Lild";211;68;15;7;17;5;2;19;54;24
" ";"Bedsted (Thisted opstillingskreds)";1376;357;91;60;99;42;34;205;441;47
" ";"Hurup";2253;648;108;179;139;47;46;246;799;40
" ";"Koldby";1235;323;74;84;95;38;9;193;367;52
" ";"Vestervig";1175;300;72;92;61;32;33;165;382;38
" ";"Ydby";871;195;57;50;73;31;13;125;290;37
