"Folketingsvalget 2011 for Østjyllands Storkreds efter tid, område og"
"valgresultat"

" ";" ";"GYLDIGE STEMMER I ALT";"A. Socialdemokratiet";"B. Radikale Venstre";"C. Det Konservative Folkeparti";"F. SF - Socialistisk Folkeparti";"I. Liberal Alliance";"K. Kristendemokraterne";"O. Dansk Folkeparti";"V. Venstre, Danmarks Liberale Parti";"Ø. Enhedslisten - De Rød-Grønne"
"2011"
" ";"ØSTJYLLANDS STORKREDS";482475;131338;50350;18028;43364;23682;3090;50274;131674;30471
" ";"1. ÅRHUS SYD OPSTILLINGSKREDS";49458;12908;6501;2253;4705;2592;224;3835;12752;3673
" ";"Frederiksbjerg Hallerne";11907;2514;2182;586;1240;825;53;578;2783;1144
" ";"Lokalcenter Fr.Bjerg/Langenæs";5373;1508;783;214;556;323;49;357;1055;524
" ";"Rundhøjhallen,Holme";5815;1746;613;237;586;224;28;541;1375;460
" ";"Kragelundskolen,Højbjerg";3694;1010;544;183;364;176;24;256;873;264
" ";"Tranbjerg Skole";5708;2063;384;239;417;161;17;732;1462;232
" ";"Beder Skole";3162;814;418;136;334;109;14;240;876;221
" ";"Malling Skole";3121;889;296;105;368;123;8;255;837;240
" ";"Mårslet Skole";3416;859;496;170;320;162;7;214;987;200
" ";"Solbjergskolen";3329;842;276;127;275;180;7;368;1098;155
" ";"Skåde Skole";3933;663;509;256;245;309;17;294;1406;233
" ";"2. ÅRHUS VEST OPSTILLINGSKREDS";48816;14810;5591;1750;4872;2015;315;4832;10669;3908
" ";"Rosenvangskolen,Viby J";4718;1259;640;233;463;217;25;374;1156;348
" ";"Viby Hallen";7372;2250;768;297;765;347;27;764;1576;573
" ";"Ormslev Præstegård";391;90;37;14;32;18;1;54;108;37
" ";"Hasselager Hallen";3842;1227;268;109;326;162;16;489;1074;171
" ";"Højvangskolen,Stavtrup";2769;720;343;116;328;126;4;247;624;261
" ";"Engdalskolen,Brabrand";5185;1273;751;254;466;255;45;480;1375;285
" ";"Globus 1";3880;1250;809;66;417;110;86;250;336;548
" ";"Skjoldhøjskolen";3917;1181;369;108;422;154;32;419;857;359
" ";"Havkær Lokalcenter,Tilst";4945;1765;408;161;425;184;34;553;1089;318
" ";"Næshøj Hallen, Harlev";2900;861;241;107;208;123;9;319;888;144
" ";"Borum Forsamlingshus";489;130;61;13;49;15;3;42;123;53
" ";"Sabro-Korsvejskolen,Sabro";2072;599;166;79;168;93;4;288;575;100
" ";"Søndervangskolen,Viby J";1986;843;155;48;211;42;4;233;238;200
" ";"Åby Skole";4350;1362;575;145;592;169;25;320;650;511
" ";"3. ÅRHUS NORD OPSTILLINGSKREDS";51101;13960;7568;1831;6056;2651;451;3785;9689;5057
" ";"Gammelgårdskolen,Åbyhøj";2874;764;426;113;348;130;19;210;599;258
" ";"Hasle Skole";5101;1394;787;189;596;267;71;352;931;510
" ";"Skovvangskolen";8359;1939;1608;311;1106;495;69;429;1397;999
" ";"Møllevangskolen";8758;2099;1545;343;988;656;82;498;1628;910
" ";"Lisbjergskolen";1029;244;158;29;144;63;11;83;210;86
" ";"Lystrup Skole";7222;2021;731;338;671;314;38;724;2028;354
" ";"Bjørnshøjcentret,Trige";1874;656;151;49;206;63;11;235;375;127
" ";"Spørring Fælleshus";677;170;53;30;62;27;5;70;223;36
" ";"Hårup Hallen";1258;335;104;34;108;32;4;153;432;56
" ";"Center -10 (Frydenlundskolen)";7389;2429;1009;210;961;277;81;571;906;930
" ";"Katrinebjergskolen";3888;906;746;143;466;253;38;183;704;448
" ";"Vorrevangskolen";2672;1003;250;42;400;74;22;277;256;343
" ";"4. ÅRHUS ØST OPSTILLINGSKREDS";54527;11858;9110;2458;5760;3410;329;3262;13012;5307
" ";"Rådhushallen";10972;2011;2222;489;1227;941;42;372;2246;1415
" ";"Samsøgades Skole";11234;2083;2562;412;1473;826;68;399;1837;1572
" ";"Bellevue-Hallen";6908;1220;1062;436;534;452;54;387;2380;382
" ";"Virupskolen,Hjortshøj";2079;633;280;56;285;40;7;152;371;254
" ";"Sølystskolen,Egå";3269;760;349;205;223;144;6;319;1107;154
" ";"Skæring Skole";3300;664;296;201;198;166;6;346;1273;150
" ";"Skødstrup Hallen";4929;1207;543;209;385;304;21;470;1543;245
" ";"Vejlby Skole";6557;1864;1028;218;840;311;92;438;1008;753
" ";"Jellebakkeskolen,Risskov";5279;1416;768;232;595;226;33;379;1247;382
" ";"5. DJURS OPSTILLINGSKREDS";51616;14963;3847;1667;4031;2036;250;6775;15494;2540
" ";"Ebeltoft";6025;1445;554;253;480;216;11;785;2009;271
" ";"Mols";2712;602;246;85;262;111;9;353;811;230
" ";"Tirstrup";1522;452;109;38;169;49;3;200;395;106
" ";"Kolind";2164;615;128;80;186;86;9;287;669;103
" ";"Ryomgård";2962;943;212;88;207;114;9;383;869;137
" ";"Hornslet";4614;1275;405;193;383;185;14;532;1422;205
