"Folketingsvalget 2011 for Sjællands Storkreds efter tid, område og"
"valgresultat"

" ";" ";"GYLDIGE STEMMER I ALT";"A. Socialdemokratiet";"B. Radikale Venstre";"C. Det Konservative Folkeparti";"F. SF - Socialistisk Folkeparti";"I. Liberal Alliance";"K. Kristendemokraterne";"O. Dansk Folkeparti";"V. Venstre, Danmarks Liberale Parti";"Ø. Enhedslisten - De Rød-Grønne"
"2011"
" ";"SJÆLLANDS STORKREDS";531801;133571;39840;24863;51952;23857;2022;85571;139888;29959
" ";"1. LOLLAND OPSTILLINGSKREDS";29788;9279;1255;961;5440;814;92;4544;5802;1583
" ";"Errindlev";586;177;24;17;54;14;0;109;161;29
" ";"Holeby";1834;643;60;54;226;27;5;309;413;96
" ";"Halsted";874;214;44;37;144;30;4;166;174;60
" ";"Sandby (Lolland opstillingskreds)";749;205;43;29;115;25;5;132;153;42
" ";"Søllested (Lolland opstillingskreds)";1514;461;69;76;226;44;3;254;296;85
" ";"Maribo";4681;1657;242;198;510;147;16;611;1076;220
" ";"Askø";36;5;1;1;5;0;1;6;15;2
" ";"Østofte";2433;742;99;83;294;87;12;414;546;151
" ";"Nakskov";8781;2635;332;244;2668;179;27;1148;1115;431
" ";"Birket";411;138;15;13;41;15;0;58;99;32
" ";"Fejø";363;76;28;12;49;17;1;73;69;38
" ";"Femø";112;18;8;7;12;2;0;23;33;9
" ";"Horslunde";1613;486;73;43;288;53;6;261;324;79
" ";"Dannemare";2069;587;65;61;352;64;5;376;463;96
" ";"Rødby";1911;650;94;48;205;58;4;262;479;110
" ";"Rødbyhavn";1114;411;33;20;155;26;1;212;192;63
" ";"Brandstrup";707;174;25;18;96;26;2;130;194;40
" ";"2. GULDBORGSUND OPSTILLINGSKREDS";41345;13097;2328;1603;4262;1284;197;6606;9627;2325
" ";"Byen (Guldborgsund opstillingskreds)";2847;797;224;139;372;98;16;388;560;253
" ";"Østerbro";2681;925;167;105;292;95;17;362;517;200
" ";"Lindeskov";2490;911;120;105;217;62;18;351;575;130
" ";"Ejegod";2989;1060;204;122;332;95;18;391;610;156
" ";"Kraghave";1842;592;118;68;207;62;8;257;453;77
" ";"Toreby";1290;383;74;31;140;38;5;244;302;72
" ";"Sundby (Guldborgsund opstillingskreds)";2406;799;152;109;234;87;19;307;592;107
" ";"Nysted";2169;732;110;74;195;59;6;358;542;92
" ";"Øster Ulslev";1277;349;50;35;121;44;6;217;372;83
" ";"Nørre Alslev";2179;687;126;92;193;50;9;347;546;129
" ";"Nørre Vedby";1689;482;88;56;173;59;3;329;403;95
" ";"Eskilstrup";1876;593;98;66;191;60;9;332;429;97
" ";"Sakskøbing";3838;1419;159;131;427;108;14;532;884;158
" ";"Majbølle";1077;282;46;46;96;39;4;226;271;66
" ";"Våbensted";821;257;37;33;82;28;1;134;212;37
" ";"Stubbekøbing";2600;778;147;89;297;71;17;464;569;167
" ";"Horreby";2249;634;153;72;237;83;9;401;496;163
" ";"Idestrup";1425;419;62;55;122;55;8;239;394;71
" ";"Væggerløse";2557;712;161;149;204;66;7;451;717;90
" ";"Gedser";1043;286;32;26;130;25;3;276;183;82
" ";"3. VORDINGBORG OPSTILLINGSKREDS";30751;8362;2083;1336;3276;1230;113;4847;7326;2164
" ";"Vordingborg";3629;1080;262;197;384;149;15;534;756;250
" ";"Masnedsund";2763;873;208;100;326;88;11;434;509;214
" ";"Nyråd";1955;464;192;116;231;103;10;224;525;90
" ";"Kastrup (Vordingborg opstillingskreds)";1784;557;95;75;190;86;8;264;399;110
" ";"Bårse";805;163;59;35;80;44;2;143;229;49
" ";"Lundby";2496;567;148;118;254;115;5;511;616;160
" ";"Ørslev (Vordingsborg opstillingskreds)";1379;403;75;62;129;49;2;235;355;69
" ";"Stege";3780;1125;244;154;335;124;8;532;976;279
" ";"Østmøn";1198;267;66;37;123;46;7;219;310;123
" ";"Vestmøn";1660;393;118;55;208;62;9;219;392;202
" ";"Bogø";824;203;75;30;127;25;3;99;206;56
