"Folketingsvalget 2011 for Sydjyllands Storkreds efter tid, område og"
"valgresultat"

" ";" ";"GYLDIGE STEMMER I ALT";"A. Socialdemokratiet";"B. Radikale Venstre";"C. Det Konservative Folkeparti";"F. SF - Socialistisk Folkeparti";"I. Liberal Alliance";"K. Kristendemokraterne";"O. Dansk Folkeparti";"V. Venstre, Danmarks Liberale Parti";"Ø. Enhedslisten - De Rød-Grønne"
"2011"
" ";"SYDJYLLANDS STORKREDS";451161;108937;29742;17905;34717;21912;4714;66666;149148;17266
" ";"1. SØNDERBORG OPSTILLINGSKREDS";47509;13017;2790;2416;3374;2077;251;7329;14770;1467
" ";"Nordborg";4008;1204;146;192;348;165;12;680;1155;105
" ";"Havnbjerg";1916;680;86;67;156;85;4;287;488;62
" ";"Egen";2452;782;92;103;158;84;6;397;765;65
" ";"Fynshav";1678;409;105;71;106;50;7;300;570;59
" ";"Augustenborg";2579;687;157;129;194;102;11;436;789;71
" ";"Hørup";2193;459;177;216;110;87;2;253;830;59
" ";"Sydals";1642;382;79;101;112;81;3;261;563;60
" ";"Kegnæs";359;73;31;19;30;31;8;49;95;22
" ";"Humlehøj, Sønderborg";5533;1624;337;236;426;224;29;897;1581;176
" ";"Sønderskov, Sønderborg";4666;1468;270;211;414;172;30;744;1169;187
" ";"Biblioteket, Sønderborg";4530;992;375;285;381;254;26;639;1418;158
" ";"Dybbøl";3888;865;289;234;232;209;31;524;1399;104
" ";"Vester Sottrup";2167;567;104;107;120;108;22;308;787;44
" ";"Ullerup";1233;283;68;59;71;97;8;212;393;42
" ";"Broager";3067;922;165;156;188;116;8;451;973;86
" ";"Gråsten";5027;1462;291;214;293;175;43;791;1606;151
" ";"Kværs";571;158;18;16;35;37;1;100;189;16
" ";"2. AABENRAA OPSTILLINGSKREDS";36540;9088;2092;1259;2188;1538;367;5711;13144;1142
" ";"Hovslund";569;149;25;17;24;28;5;84;214;23
" ";"Hellevad";567;123;15;12;37;16;8;84;253;19
" ";"Rødekro";4447;1164;253;154;220;154;58;702;1638;102
" ";"Løjt";2958;700;211;105;187;138;20;429;1063;105
" ";"Hjordkær";1289;364;55;26;52;51;35;226;454;26
" ";"Ravsted";576;103;27;9;32;41;3;104;243;14
" ";"Bolderslev";1456;353;64;42;89;66;22;209;580;30
" ";"Ensted";1512;357;110;55;85;62;4;230;557;50
" ";"Felsted";1453;341;75;45;73;49;7;238;579;46
" ";"Varnæs";795;185;44;21;37;39;6;104;338;21
" ";"Bylderup";1607;317;54;42;65;87;62;302;625;52
" ";"Tinglev";2130;571;81;73;123;89;28;293;828;44
" ";"Kliplev";1435;318;75;36;82;53;5;254;578;34
" ";"Kruså";2572;521;117;136;117;129;15;518;976;43
" ";"Padborg";3098;744;123;131;159;113;7;574;1151;93
" ";"Aabenraa Midt";5843;1434;489;214;465;277;56;746;1889;271
" ";"Aabenraa Syd";2648;816;170;92;219;91;16;385;760;99
" ";"Aabenraa Nord";1585;528;104;49;122;55;10;229;418;70
" ";"3. TØNDER OPSTILLINGSKREDS";24506;5967;1313;887;1691;1162;446;3374;8948;708
" ";"Bredebro";1297;421;37;52;38;51;5;182;487;23
" ";"Ballum";467;122;12;16;24;22;16;50;185;20
" ";"Visby";381;109;14;14;20;13;4;43;152;12
" ";"Højer";1140;327;56;32;71;56;8;168;377;45
" ";"Sdr. Sejerslev";424;82;29;22;22;29;4;55;175;6
" ";"Møgeltønder";785;186;47;30;75;37;3;106;282;19
" ";"Løgumkloster";2233;435;126;89;109;101;81;329;908;54
" ";"Nr. Løgum";819;140;38;25;37;46;24;136;363;10
" ";"Bedsted (Tønder opstillingskreds)";512;86;39;14;34;28;40;70;181;18
" ";"Øster Højst";574;89;26;20;28;28;11;122;235;15
" ";"Agerskov";1392;299;64;53;77;77;84;189;518;31
" ";"Arrild";490;90;25;17;22;36;5;89;188;17
" ";"Branderup";352;78;24;12;30;25;9;41;128;5
" ";"Døstrup";422;126;15;13;20;33;4;59;145;7
" ";"Toftlund";2726;702;149;96;141;131;52;358;1045;52
" ";"Brøns";675;133;42;27;48;42;6;113;243;21
" ";"Tønder";5157;1448;342;177;599;197;38;547;1582;226
" ";"Abild";736;147;35;18;53;33;12;137;281;20
" ";"Hostrup";657;153;44;18;59;43;10;99;201;30
" ";"Rømø";420;77;29;24;30;17;2;80;144;16
" ";"Skærbæk";2424;641;103;102;137;90;19;352;923;55
" ";"Vodder";423;76;17;16;17;27;9;49;205;6
" ";"4. ESBJERG BY OPSTILLINGSKREDS";40220;11994;2462;1139;4038;1519;277;5356;10797;2619
" ";"Områdecentret Strandby";4659;1073;347;175;444;246;30;552;1467;323
" ";"Esbjerg Rådhus";3339;828;298;133;375;160;25;376;861;281
" ";"Skovbo-Centeret";1718;609;75;35;179;40;14;261;376;128
" ";"Rørkjær Skole";2834;946;169;65;335;85;7;391;606;230
" ";"Bakkeskolen";3835;1422;164;74;426;120;20;578;734;297
" ";"Boldesager Skole";3991;1252;299;108;411;165;25;482;971;277
" ";"Østerbycentret";3029;1129;153;44;390;71;25;444;575;196
" ";"Vestervangskolen (Esbjerg By opstillingskreds)";2656;654;152;99;211;111;20;324;968;115
