"Folketingsvalget 2011 for Vestjyllands Storkreds efter tid, område og"
"valgresultat"

" ";" ";"GYLDIGE STEMMER I ALT";"A. Socialdemokratiet";"B. Radikale Venstre";"C. Det Konservative Folkeparti";"F. SF - Socialistisk Folkeparti";"I. Liberal Alliance";"K. Kristendemokraterne";"O. Dansk Folkeparti";"V. Venstre, Danmarks Liberale Parti";"Ø. Enhedslisten - De Rød-Grønne"
"2011"
" ";"VESTJYLLANDS STORKREDS";331005;76208;24090;12677;26819;16061;9664;40378;113443;11505
" ";"1. STRUER OPSTILLINGSKREDS";28552;6958;1770;934;2975;1306;1765;3536;8470;833
" ";"Lemvig";4698;1049;333;177;536;240;275;622;1352;114
" ";"Nørre Nissum";1741;321;168;68;235;101;133;192;464;59
" ";"Klinkby";1475;282;104;39;195;75;82;181;474;43
" ";"Ramme";1430;261;79;40;205;73;85;185;452;49
" ";"Bøvling";1013;139;48;22;100;58;75;154;380;36
" ";"Flynder";974;140;48;27;91;54;97;125;362;30
" ";"Thyborøn";1354;308;50;26;90;47;90;268;442;33
" ";"Harboøre";1318;333;53;35;96;47;124;166;439;25
" ";"Struer";5400;1846;324;172;592;198;156;571;1336;204
" ";"Gimsing";1526;491;106;70;159;71;48;172;368;41
" ";"Hjerm";1179;247;83;35;91;65;86;126;409;37
" ";"Humlum";1262;343;68;31;143;65;84;130;364;34
" ";"Bremdal";1364;367;104;47;118;71;48;139;439;30
" ";"Langhøj";1555;294;93;41;116;62;140;208;567;34
" ";"Hvidbjerg";2263;537;109;104;208;79;242;297;622;64
" ";"2. SKIVE OPSTILLINGSKREDS";31157;9064;2281;803;2696;1322;259;3856;9701;1168
" ";"Aakjær";4992;1512;340;175;538;222;25;659;1272;246
" ";"Skivehus";4321;1194;400;153;331;190;45;464;1425;119
" ";"Brårup";4577;1647;326;121;462;198;39;552;1042;190
" ";"Højslev";2702;702;173;58;208;105;12;469;895;80
" ";"Ørslevkloster";946;164;70;22;59;36;9;157;393;36
" ";"Rønbjerg";578;137;42;20;60;32;8;94;170;15
" ";"Hem";667;186;41;10;57;28;3;66;253;21
" ";"Lihme";518;164;45;10;43;23;5;54;152;22
" ";"Oddense - Otting";635;191;54;6;50;39;0;46;232;17
" ";"Rødding (Skive opstillingskreds)";999;303;75;16;64;43;15;112;340;31
" ";"Glyngøre";1336;352;102;38;115;54;9;180;431;55
" ";"Durup";974;263;56;28;67;42;22;111;353;32
" ";"Roslev";1538;458;101;26;127;54;10;168;553;41
" ";"Balling";1172;395;96;22;71;59;5;120;373;30
" ";"Håsum - Ramsing";549;174;29;7;41;25;2;80;168;23
" ";"Lem - Vejby";657;195;45;10;51;23;5;96;198;34
" ";"Fur";593;112;42;23;51;18;20;62;233;32
" ";"Selde";1012;272;68;21;89;27;12;114;353;55
" ";"Breum";1276;295;99;19;123;63;6;131;490;50
" ";"Jebjerg-Lyby";1115;348;77;18;89;41;7;121;375;39
" ";"3. VIBORG VEST OPSTILLINGSKREDS";31779;8103;2584;1085;3097;1388;268;3601;10307;1307
" ";"Frederiks";2119;563;145;72;179;76;37;306;675;51
" ";"Hald Ege";2268;430;274;103;237;111;12;202;794;104
" ";"Karup";2253;574;108;84;166;77;25;351;786;79
" ";"Løgstrup";2279;482;150;82;174;121;21;274;919;54
" ";"Mønsted";1542;362;116;43;146;59;4;220;546;43
" ";"Stoholm";2193;516;143;64;182;93;22;294;819;59
" ";"Vridsted";1532;355;112;37;115;76;17;227;539;53
" ";"Viborg";17593;4821;1536;600;1898;775;130;1727;5229;864
" ";"4. VIBORG ØST OPSTILLINGSKREDS";28119;6275;2288;998;2141;1342;358;3297;10465;940
" ";"Bjerringbro Nord";4639;1012;392;175;363;228;65;537;1717;148
" ";"Bjerringbro Syd";1888;465;120;68;122;81;17;287;667;57
" ";"Hammershøj";1503;292;96;46;127;78;10;194;595;65
" ";"Møldrup";3071;577;174;95;182;137;52;454;1320;78
" ";"Overlund";8043;1916;907;351;691;383;82;709;2713;287
" ";"Rødding (Viborg Øst opstillingskreds)";2274;514;177;47;184;117;18;228;902;87
" ";"Rødkærsbro";2143;526;116;72;151;89;45;321;744;77
" ";"Skals";2476;544;150;75;173;111;31;280;1029;83
" ";"Ørum (Viborg Øst opstillingskreds)";2082;429;156;69;148;118;38;287;778;58
" ";"5. SILKEBORG NORD OPSTILLINGSKREDS";27724;6499;2238;1168;2238;1517;459;3328;9074;1187
" ";"Ans";2188;427;143;71;161;83;64;246;911;82
" ";"Funder";1508;378;106;62;129;81;22;195;452;79
" ";"Fårvang";1263;319;66;48;106;57;12;190;422;42
" ";"Gjern";1305;262;158;68;129;83;52;108;377;68
" ";"Grauballe";844;147;69;42;80;61;17;102;289;37
" ";"Gødvad";3870;1134;318;189;331;247;51;408;977;214
" ";"Kjellerup";3602;887;249;127;239;159;58;491;1276;115
" ";"Kragelund";866;220;58;25;57;48;11;115;289;43
" ";"Lemming";882;170;64;32;91;47;15;128;298;37
" ";"Linå";1027;226;95;42;103;65;9;127;280;78
" ";"Resenbro";1243;376;121;49;97;52;15;146;345;41
" ";"Sejling";649;136;60;19;52;59;16;62;210;35
" ";"Sejs";2746;574;311;191;248;189;11;276;854;92
" ";"Sjørslev";727;185;47;19;47;35;6;90;270;26
" ";"Sorring";1111;255;109;45;105;68;16;116;326;68
" ";"Thorning";1931;363;123;56;133;98;30;284;779;64
" ";"Vinderslev";889;170;42;21;66;41;21;141;353;34
" ";"Voel";1073;270;99;62;64;44;33;103;366;32
" ";"6. SILKEBORG SYD OPSTILLINGSKREDS";29815;7577;2906;1413;2802;1729;218;3011;8421;1734
" ";"Balle";2650;707;245;134;175;159;27;276;833;94
" ";"Bryrup";1445;300;124;42;182;97;9;166;439;86
" ";"Buskelundskolen";2996;515;355;234;162;303;17;219;1122;69
" ";"Gjessø";773;140;87;24;55;70;3;81;286;27
" ";"Hjøllund";329;57;33;14;45;12;0;47;79;42
" ";"Langsøskolen";1709;541;171;58;217;77;19;155;347;123
" ";"Lysbro";1837;394;194;95;147;130;13;171;597;95
" ";"Nordre (Silkeborg Syd opstillingskreds)";2973;899;243;116;353;104;29;335;680;214
" ";"Silkeborghallerne";4209;1494;307;194;372;182;40;456;889;273
" ";"Them";2391;540;200;97;189;136;10;363;752;104
" ";"Vestergadehallen";6202;1543;646;293;735;318;40;542;1568;517
" ";"Virklund";2301;447;301;112;170;141;11;200;829;90
" ";"7. IKAST OPSTILLINGSKREDS";25297;5463;1525;1199;1510;1175;437;4072;9213;687
" ";"Ejstrup";1565;299;87;67;83;83;30;325;537;53
" ";"Gludsted";355;69;16;8;21;24;11;63;137;6
" ";"Nørre-Snede";1624;340;77;59;149;58;12;396;451;80
" ";"Hampen";333;79;15;9;20;20;3;88;89;10
" ";"Klovborg";670;125;45;17;48;21;23;139;226;26
" ";"Pårup";317;78;22;11;21;9;0;66;95;15
" ";"Brande By";4522;808;279;273;353;202;66;701;1724;114
" ";"Blåhøj";589;74;24;48;30;31;22;116;225;18
" ";"Uhre";301;38;15;17;17;17;2;42;151;2
" ";"Drantum";221;21;13;15;21;14;3;39;92;3
" ";"Ikast";10126;2352;656;512;520;472;141;1424;3801;239
" ";"Isenvad";692;102;39;22;26;43;18;120;314;8
" ";"Bording";2123;464;129;84;101;98;75;286;835;50
" ";"Agerskov-Stubkjær";269;34;7;6;11;15;7;53;132;4
" ";"Engesvang";1590;580;101;51;89;68;24;214;404;59
" ";"8. HERNING SYD OPSTILLINGSKREDS";26212;5740;1913;1220;1841;1297;501;3170;9707;814
" ";"Herning";16209;3798;1279;808;1252;849;295;1848;5476;597
" ";"Arnborg";850;191;42;26;64;36;17;170;284;20
" ";"Kibæk";2131;426;119;105;85;103;55;251;954;32
" ";"Kølkær";648;157;32;22;75;27;19;114;187;15
" ";"Lind";3658;658;291;137;196;185;39;360;1728;64
" ";"Sdr. Felding";1531;322;80;68;94;46;52;217;595;57
" ";"Skarrild";651;81;36;35;41;30;17;118;278;14
" ";"Studsgård";534;107;34;19;34;21;7;92;205;15
" ";"9. HERNING NORD OPSTILLINGSKREDS";28594;5146;1988;1226;1647;1418;1006;3502;11951;696
" ";"Aulum";2651;430;156;138;157;108;225;357;1019;58
" ";"Feldborg";509;100;20;11;31;17;14;101;205;10
" ";"Gullestrup";967;261;87;14;112;35;26;105;248;79
" ";"Haderup";804;122;45;28;55;36;24;137;341;15
" ";"Hammerum";5391;938;500;296;298;356;113;511;2245;131
" ";"Hodsager";479;51;25;15;35;25;45;80;191;12
" ";"Ilskov";619;129;31;17;36;31;6;102;260;6
" ";"Simmelkær";310;41;21;7;15;14;6;45;152;8
" ";"Sinding";613;94;43;19;38;34;24;90;246;24
" ";"Skibbild/Nøvling";673;135;53;31;62;10;28;93;236;25
" ";"Snejbjerg";3117;590;217;130;151;161;48;334;1425;61
" ";"Sunds";2958;520;158;120;148;184;37;365;1359;66
" ";"Timring";817;92;36;45;39;37;49;136;362;19
" ";"Tjørring";3576;770;270;162;214;141;96;382;1469;72
" ";"Vildbjerg";2859;499;189;108;131;120;110;341;1295;66
" ";"Vind";355;83;22;9;28;24;21;46;114;8
" ";"Vinding";1125;162;75;48;56;49;109;134;468;23
" ";"Ørnhøj";771;129;40;28;41;36;25;143;316;13
" ";"10. HOLSTEBRO OPSTILLINGSKREDS";37050;8977;2516;1405;3250;1975;2510;4105;10991;1302
" ";"Musikteatret";11943;2919;915;495;1061;690;834;1244;3325;453
" ";"Mejdal";3061;693;221;107;221;196;199;317;1041;65
" ";"Skave";1448;285;75;65;108;92;73;176;543;31
" ";"Mejrup";2442;498;205;110;173;160;139;212;886;59
" ";"Birkelundskolen";8623;2613;562;336;847;374;592;916;2010;368
" ";"Vinderup";3778;925;222;118;283;224;228;525;1152;99
" ";"Sevel";1349;232;83;52;110;66;101;145;521;37
" ";"Ulfborg";2260;392;112;59;256;88;209;248;792;102
" ";"Vemb";1337;273;69;40;131;61;94;170;451;48
" ";"Sdr. Nissum";809;147;52;23;60;24;41;152;270;40
" ";"11. RINGKØBING OPSTILLINGSKREDS";36706;6406;2081;1226;2622;1592;1883;4900;15143;837
" ";"Tarm,Foersum";2865;651;179;111;177;85;190;361;1034;74
" ";"Holmsland";933;109;42;40;77;40;29;133;445;18
" ";"Hoven";402;50;23;13;31;24;14;57;178;12
" ";"Ådum";448;56;17;20;29;26;18;68;206;8
" ";"Lyne";362;46;24;8;16;23;9;56;170;10
" ";"Sdr. Vium";296;36;23;14;22;21;30;31;109;10
" ";"Hemmet";372;60;14;18;23;22;22;67;138;8
